layer_name,n_tokens,latency_us
total_block,1,1093.63
self_attn,1,316.51
mlp,1,628.45
input_layernorm,1,131.46
post_attention_layernorm,1,88.35
total_block,2,1271.2
self_attn,2,317.18
mlp,2,820.19
input_layernorm,2,89.92
post_attention_layernorm,2,88.26
total_block,3,1577.18
self_attn,3,312.54
mlp,3,920.45
input_layernorm,3,90.82
post_attention_layernorm,3,88.19
total_block,4,1268.77
self_attn,4,312.96
mlp,4,826.82
input_layernorm,4,89.18
post_attention_layernorm,4,85.76
total_block,5,1512.29
self_attn,5,316.32
mlp,5,1067.42
input_layernorm,5,88.83
post_attention_layernorm,5,87.62
total_block,6,1508.8
self_attn,6,315.52
mlp,6,1059.01
input_layernorm,6,91.39
post_attention_layernorm,6,88.7
total_block,7,1382.82
self_attn,7,311.3
mlp,7,938.24
input_layernorm,7,89.18
post_attention_layernorm,7,87.17
total_block,8,1786.46
self_attn,8,317.38
mlp,8,1332.54
input_layernorm,8,90.72
post_attention_layernorm,8,87.68
total_block,9,1736.03
self_attn,9,318.88
mlp,9,1288.7
input_layernorm,9,89.79
post_attention_layernorm,9,87.26
total_block,10,1935.36
self_attn,10,314.98
mlp,10,1478.91
input_layernorm,10,91.74
post_attention_layernorm,10,110.05
total_block,11,1778.62
self_attn,11,315.9
mlp,11,1333.5
input_layernorm,11,90.18
post_attention_layernorm,11,88.48
total_block,12,1896.77
self_attn,12,364.9
mlp,12,1446.75
input_layernorm,12,90.3
post_attention_layernorm,12,88.74
total_block,13,1805.7
self_attn,13,318.72
mlp,13,1355.52
input_layernorm,13,90.5
post_attention_layernorm,13,88.13
total_block,14,1959.94
self_attn,14,314.27
mlp,14,1490.21
input_layernorm,14,89.47
post_attention_layernorm,14,87.55
total_block,15,1618.91
self_attn,15,322.5
mlp,15,1175.2
input_layernorm,15,88.99
post_attention_layernorm,15,89.95
total_block,16,1912.9
self_attn,16,313.92
mlp,16,1457.7
input_layernorm,16,91.9
post_attention_layernorm,16,88.22
total_block,32,1915.65
self_attn,32,311.55
mlp,32,1458.34
input_layernorm,32,93.34
post_attention_layernorm,32,89.79
total_block,64,1902.21
self_attn,64,374.82
mlp,64,1459.49
input_layernorm,64,89.57
post_attention_layernorm,64,89.63
total_block,128,1972.16
self_attn,128,318.56
mlp,128,1401.06
input_layernorm,128,92.26
post_attention_layernorm,128,91.36
total_block,256,1992.16
self_attn,256,319.84
mlp,256,1535.94
input_layernorm,256,90.37
post_attention_layernorm,256,87.26
